State,Facility,Year,Month,Death.Date,First.Name,Last.Name,Full.Name,ID.No,Death.Age,Sex,Race,Ethnicity,Circumstance.General,Circumstance.Specific,Circumstance.Other
New Hampshire,NH STATE PRISON FOR MEN,2019,November,2019-11-22,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2020,May,2020-05-12,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2020,May,2020-05-16,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2020,June,2020-06-23,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2020,July,2020-07-16,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2020,September,2020-09-17,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2020,December,2020-12-01,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2020,December,2020-12-16,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2021,January,2021-01-08,,,,,,M,White-Hispanic,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2021,February,2021-02-19,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2021,May,2021-05-02,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2021,July,2021-07-23,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2021,August,2021-08-18,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2021,September,2021-09-10,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2021,November,2021-11-09,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2021,December,2021-12-21,,,,,,M,White,,,,Incarcerated
