State,Year,Month,Facility,Total.Deaths
Colorado,2017,September,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2017,October,COMMUNITY CORRECTIONS,1
Colorado,2017,November,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2017,November,COMMUNITY CORRECTIONS,1
Colorado,2017,November,STERLING CORRECTIONAL FACILITY,1
Colorado,2017,December,COMMUNITY CORRECTIONS,1
Colorado,2017,December,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2018,January,CROWLEY COUNTY CORRECTIONAL FACILITY,1
Colorado,2018,February,BUENA VISTA CORRECTIONAL COMPLEX,1
Colorado,2018,February,CENTENNIAL CORRECTIONAL FACILITY,1
Colorado,2018,February,LIMON CORRECTIONAL FACILITY,1
Colorado,2018,March,CENTENNIAL CORRECTIONAL FACILITY,3
Colorado,2018,April,COLORADO TERRITORIAL CORRECTIONAL FACILITY,4
Colorado,2018,April,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2018,April,INTERSTATE COMPACT,1
Colorado,2018,May,DENVER RECEPTION & DIAGNOSTIC CENTER,4
Colorado,2018,June,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2018,June,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2018,July,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2018,July,DENVER WOMEN'S CORRECTIONAL FACILITY,2
Colorado,2018,July,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2018,August,BENT COUNTY CORRECTIONAL FACILITY,1
Colorado,2018,August,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2018,August,COMMUNITY CORRECTIONS,1
Colorado,2018,August,CROWLEY COUNTY CORRECTIONAL FACILITY,1
Colorado,2018,September,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2018,September,BENT COUNTY CORRECTIONAL FACILITY,1
Colorado,2018,September,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2018,September,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2018,September,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2018,September,ISP - INMATE,1
Colorado,2018,October,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2018,October,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2018,November,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2018,November,DENVER RECEPTION & DIAGNOSTIC CENTER,3
Colorado,2018,November,FREMONT CORRECTIONAL FACILITY,2
Colorado,2018,November,STERLING CORRECTIONAL FACILITY,1
Colorado,2018,December,BUENA VISTA CORRECTIONAL COMPLEX,1
Colorado,2018,December,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2018,December,COMMUNITY CORRECTIONS,1
Colorado,2018,December,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2018,December,ISP - INMATE,1
Colorado,2018,December,LIMON CORRECTIONAL FACILITY,1
Colorado,2019,January,DENVER RECEPTION & DIAGNOSTIC CENTER,4
Colorado,2019,February,COMMUNITY CORRECTIONS,1
Colorado,2019,February,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2019,March,COMMUNITY CORRECTIONS,1
Colorado,2019,March,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2019,April,FREMONT CORRECTIONAL FACILITY,1
Colorado,2019,May,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2019,May,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2019,May,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2019,May,FREMONT CORRECTIONAL FACILITY,1
Colorado,2019,May,STERLING CORRECTIONAL FACILITY,1
Colorado,2019,June,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2019,June,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2019,July,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2019,July,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2019,July,YOUTHFUL OFFENDER SYSTEM,1
Colorado,2019,August,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2019,August,FREMONT CORRECTIONAL FACILITY,1
Colorado,2019,September,CROWLEY COUNTY CORRECTIONAL FACILITY,1
Colorado,2019,September,DENVER RECEPTION & DIAGNOSTIC CENTER,3
Colorado,2019,October,COLORADO TERRITORIAL CORRECTIONAL FACILITY,5
Colorado,2019,October,"CORECIVIC, ULSTER FACILITY",1
Colorado,2019,October,"CORRECTIONAL MANAGEMENT INC, ULSTER ST",1
Colorado,2019,October,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2019,October,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2019,October,STERLING CORRECTIONAL FACILITY,2
Colorado,2019,December,"ARAPAHOE COMMUNITY TREATMENT CENTER, GIRARD AVE",1
Colorado,2019,December,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2019,December,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,January,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2020,January,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,January,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2020,January,STERLING CORRECTIONAL FACILITY,1
Colorado,2020,February,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2020,February,LIMON CORRECTIONAL FACILITY,2
Colorado,2020,February,STERLING CORRECTIONAL FACILITY,1
Colorado,2020,February,TRINIDAD CORRECTIONAL FACILITY,1
Colorado,2020,March,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2020,March,COMMUNITY CORRECTIONS,1
Colorado,2020,March,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,April,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2020,April,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,April,STERLING CORRECTIONAL FACILITY,2
Colorado,2020,May,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2020,May,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,May,ISP - INMATE,1
Colorado,2020,May,STERLING CORRECTIONAL FACILITY,4
Colorado,2020,June,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2020,July,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2020,July,COMMUNITY CORRECTIONS,1
Colorado,2020,July,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,July,STERLING CORRECTIONAL FACILITY,1
Colorado,2020,August,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2020,August,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2020,August,COMMUNITY CORRECTIONS,1
Colorado,2020,August,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2020,September,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2020,September,DENVER RECEPTION & DIAGNOSTIC CENTER,3
Colorado,2020,September,SAN CARLOS CORRECTIONAL FACILITY,1
Colorado,2020,October,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2020,October,FREMONT CORRECTIONAL FACILITY,1
Colorado,2020,November,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2020,November,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2020,November,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,November,FREMONT CORRECTIONAL FACILITY,3
Colorado,2020,November,ISP - INMATE,1
Colorado,2020,November,STERLING CORRECTIONAL FACILITY,1
Colorado,2020,December,ARKANSAS VALLEY CORRECTIONAL FACILITY,3
Colorado,2020,December,ARROWHEAD CORRECTIONAL CENTER,1
Colorado,2020,December,BENT COUNTY CORRECTIONAL FACILITY,1
Colorado,2020,December,BUENA VISTA CORRECTIONAL CENTER,1
Colorado,2020,December,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2020,December,CROWLEY COUNTY CORRECTIONAL FACILITY,1
Colorado,2020,December,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2020,December,ISP - INMATE,1
Colorado,2020,December,STERLING CORRECTIONAL FACILITY,5
